"Question","Correct Answer","Incorrect Answer 1","Incorrect Answer 2","Incorrect Answer 3"
"An 'if' statement is code that:","Decides, running something only when a condition is true","Always repeats forever","Draws a sprite on screen","Names a file"
"'if / else' means:","Do one thing if true, another if false","Repeat until you stop it","Add two numbers together","End the game immediately"
"In an if/else, how many branches actually run?","Exactly one","Both of them","Neither of them","It depends on the score"
"A condition is:","A true or false test","A kind of sprite","A sound effect","A file name"
"A conditional decides, but a loop:","Repeats","Decides too","Deletes sprites","Saves the game"
"An if statement with no else, when its condition is false:","Skips the code inside","Runs the code anyway","Crashes the program","Repeats the check forever"
"Code inside an if runs only when the condition is:","True","False","A number","A sprite"
"Nesting an if inside another if means:","Both conditions must pass to reach the inner code","Either condition can pass","The code runs twice","The inner if is ignored"
"If score = 0, is 'score > 5' true?","No, it is false","Yes, it is true","It depends on the sprite","Only in blocks mode"
"If a = 5, is 'a > 5' true?","No, 5 is not greater than 5","Yes, they are equal","Only if a changes","Only in JavaScript"
"If a = 5, is 'a >= 5' true?","Yes, because >= includes equal","No, 5 is not greater","Only if a is 6","Only in blocks mode"
"The symbol >= means:","Greater than or equal to","Greater than only","Less than or equal to","Not equal to"
"The symbol <= means:","Less than or equal to","Less than only","Greater than or equal to","Exactly equal to"
"The symbol == is used to:","Check whether two values are equal","Assign a value to a variable","Add two values","Create a new variable"
"Which symbol assigns a value rather than comparing?","=","==",">=","<="
"A comparison operator compares:","Two values","Two sprites only","Two files","Two projects"
"&& (AND) is true when:","Both sides are true","At least one side is true","Both sides are false","Neither side matters"
"|| (OR) is true when:","At least one side is true","Both sides are true","Both sides are false","The values are equal"
"If a = 7, is 'a > 5 && a < 10' true?","Yes, both sides are true","No, the first side fails","No, the second side fails","Only if a becomes 11"
"If key = 3, is 'key == 1 || key == 3' true?","Yes, the second side is true","No, neither side is true","Only if key equals 1","Only if key equals 4"
"If a = 12, is 'a > 5 && a < 10' true?","No, the second side is false","Yes, both sides are true","Yes, because 12 is large","Only in blocks mode"
"The % operator gives you:","The remainder after division","The percentage of a total","The square of a number","The average of two numbers"
"'score % 10 == 0' is true when score is:","A multiple of 10","Any odd number","Always","Never"
"'score % 2 == 0' checks whether score is:","Even","Odd","Negative","A decimal"
"Confetti every 5 points would be written as:","score % 5 == 0","score > 5","score = 5","score % 10 == 0"
"In an if / else if / else chain, branches are checked:","Top to bottom, stopping at the first true one","Bottom to top","All at the same time","In random order"
"If score = 25 and the code checks 'if score < 20 ... else if score < 40', which branch runs?","The else if branch","The first if branch","The final else branch","None of them"
"If score = 20 and the code checks 'if score < 20 ... else if score < 40', which branch runs?","The else if, because 20 is not less than 20","The first if, because 20 equals 20","The final else","Both the if and the else if"
"If score = 40 and the code checks 'if score < 20 ... else if score < 40 ... else', which runs?","The final else","The first if","The else if","None of them"
"A variable is:","A named box that holds a value","A picture in the game","A sound file","A type of loop"
"If x = 10 and then x = x + 5, x is now:","15","10","5","50"
"If y = 8 and then y = y - 3, y is now:","5","11","8","24"
"If x = 4 and then x = x * 2, x is now:","8","6","4","42"
"'change score by 1' does what to score?","Adds 1 to its current value","Replaces its value with 1","Sets it to zero","Deletes the variable"
"'set score to 1' does what to score?","Replaces its value with 1","Adds 1 to it","Doubles it","Deletes it"
"The difference between 'set' and 'change' is:","Set replaces the value, change adds to it","They do exactly the same thing","Change replaces, set adds","Set only works on sprites"
"Order matters in code because a variable can be:","Changed before the if checks it","Renamed automatically","Deleted by the compiler","Converted to a sprite"
"A sprite is:","A thing in your game that moves or gets touched","A named value","A repeating block","A sound effect"
"Position is a sprite's:","x and y","Speed and direction","Color and size","Name and kind"
"Velocity is a sprite's:","Speed and direction","x and y location","Image","Score value"
"Setting a sprite's velocity once makes it:","Keep moving","Move one step and stop","Disappear","Reset to the center"
"An overlap event happens when:","Two sprites touch","The score changes","A button is released","The game starts"
"An event is:","Something that starts code running","A value stored in memory","A drawing on screen","A type of variable"
"Pick random is used to:","Choose an unpredictable value","Sort a list","Delete a sprite","Save the game"
"A game that decides good versus bad items on overlap uses:","An if statement","A loop only","A variable only","A sprite image"
"A bug is:","Something your program does that you did not mean","A sprite that moves too fast","A missing image file","A full memory card"
"Debugging means:","Finding and fixing the bug","Adding more features","Deleting the project","Renaming variables"
"The best way to debug is to change:","One thing at a time","Everything at once","Only the sprite images","The project name"
"An algorithm is:","A set of steps that solves a problem","A single line of code","A type of sprite","A game console"
"Sequence means steps run:","In order, one after another","All at the same time","In random order","Backwards"
"Game over usually comes from a conditional such as:","Lives reaching 0","The score being even","A sprite changing color","The timer starting"
"A win condition is usually written as:","if score reaches a target number","if the game just started","if a sprite exists","if the screen is blue"
"A lose condition is usually written as:","if lives reach 0","if score is above 100","if a sprite is created","if the music stops"
"The programming tool we use is:","MakeCode Arcade","Adobe Express","eDesign","DaVinci Resolve"
"Blocks and JavaScript in MakeCode are:","Two views of the same program","Two separate programs","Different languages that cannot mix","Only for different games"
"If lives = 3, does 'if lives <= 0' end the game?","No, the condition is false","Yes, the condition is true","Only if score is 0","Only in blocks mode"
