"Question","Correct Answer","Incorrect Answer 1","Incorrect Answer 2","Incorrect Answer 3"
"A two-page facing layout is called a:","Spread","Gutter","Caption","Bleed"
"The whole-book, page-by-page plan is the:","Ladder","Beat","Colophon","Byline"
"Coverage means:","Getting a person or event into the book","The number of pages in the book","The paper the book is printed on","The cover design"
"A beat is:","One slice of school life that one person owns all year","A single deadline","A photo assignment for one day","The rhythm of the layout"
"The index is:","The list of every name and the pages they appear on","The table of contents","The list of staff members","The page of advertisements"
"What matters most in the index is:","Correct spelling","Font size","Color choice","Photo quality"
"A yearbook theme is:","A unifying idea carried through the book in words and design","The color of the cover","The number of pages in the book","The order of the sports section"
"The gutter is:","The fold in the middle of a spread","The margin at the top of a page","The space between columns","The bottom edge of the page"
"You should never place a face:","In the gutter","In the top third","Near a caption","On the left page"
"The dominant photo is:","The one big photo everyone sees first","The photo with the most people","The first photo taken","The photo closest to the gutter"
"How many dominant photos should a spread have?","One","Two","Three","As many as fit"
"Eyeline refers to:","Which way people in a photo are looking","The horizon line in a photo","The top margin of the page","The line of text under a photo"
"Faces in photos should generally look:","Into the spread, not off the edge","Directly at the camera only","Toward the gutter","Away from the reader"
"Bleed is artwork that:","Runs off the edge of the page","Sits inside the margins","Covers the gutter","Is printed in black only"
"The folio at the bottom of a page shows:","The page number and section","The photographer's name","The printing date","The theme statement"
"Frames should be aligned to:","The column grid","The center of the page only","The gutter","Nothing, place them freely"
"Supporting photos should be:","Varied in size","All exactly the same size","Always larger than the dominant","Placed only in the corners"
"A page where every photo box is the same size most likely lacks:","A clear dominant photo","Enough captions","Correct margins","A folio"
"A caption is:","The text that identifies and explains a photo","The title of the spread","The article on the page","The page number"
"A good caption includes:","Names and what is happening","Only the date","Only the photographer's name","A description of the camera settings"
"Copy is:","The written article on a spread","The text under a photo","The headline","The page number"
"Copy differs from a caption because copy is:","The article, not the photo text","Always shorter than a caption","Only used on sports pages","Written by the photographer"
"A byline names the person who:","Wrote the story","Took the photo","Designed the page","Edited the book"
"A photo credit names the person who:","Took the photo","Wrote the story","Designed the page","Appears in the photo"
"The difference between a byline and a photo credit is:","A byline is for writing, a photo credit is for shooting","They mean the same thing","A byline is only for sports","A photo credit goes in the index"
"A design credit names the person who:","Designed the page or spread","Wrote the captions","Took the dominant photo","Approved the deadline"
"Photo credits are especially common on:","Candid photos","Team portraits only","Advertisements","The cover"
"A placeholder is:","A box you build now and fill in later","A finished element","A note to the printer","A backup file"
"An empty photo frame is a placeholder for:","A photo","A caption","A headline","A page number"
"You put filler text in a box so you can:","See and size it before the real text exists","Meet the word count","Skip writing the caption","Lock the page"
"A styled box you can reuse on other pages is a:","Template","Bleed","Folio","Gutter"
"Building and styling boxes before photos arrive means:","The design is ready to drop photos into","The page is finished","Captions are no longer needed","The page cannot change"
"In a shared publication workflow, checking a page in and out prevents:","Two people overwriting each other's work","The page from being printed","Photos from being resized","Captions from being edited"
"Leaving a page checked out to you:","Blocks other staff from working on it","Sends it to the printer immediately","Deletes your changes","Locks the color palette"
"Text presets are used to:","Keep text styles consistent across the book","Make files smaller","Change the page size","Add photos faster"
"You choose a text preset from:","The dropdown in the top left","The bottom status bar","The photo library","The print menu"
"Using presets instead of picking random fonts makes the book:","Consistent","Longer","Cheaper to print","Easier to photograph"
"Limiting a publication to a small set of typefaces:","Keeps the design consistent across every page","Makes the book cheaper to print","Increases the page count","Improves photo sharpness"
"Color accents on a page should come from:","The colors already set up in the book","Any color you like","Only black and white","The photo's dominant color"
"A defined color palette used throughout a publication:","Creates visual consistency from page to page","Guarantees accurate skin tones","Reduces the need for captions","Eliminates the need for a ladder"
"A banner running across a spread is an example of:","A design element that is not a photo frame","A caption style","A type of bleed","A folio"
"Colored boxes placed behind images are used to:","Frame or set off the image","Hide mistakes in the photo","Replace the caption","Mark the gutter"
"Non-rectangular shapes such as circles should be used:","Only when they add something to the design","On every photo","Never under any circumstance","Only on sports pages"
"Cropping a photo into a circle often causes:","Important parts of the image to be cut off","Better print quality","A smaller file size","Improved color"
"The deadline the publisher sets:","Does not move for us","Can be extended by request","Changes every week","Applies only to the cover"
"A missed publisher deadline means the page:","Ships as it is or gets pulled","Is automatically extended","Moves to next year's book","Is printed in black and white"
"A pull quote on a spread is used to:","Highlight a striking statement and add visual interest","Credit the photographer","List the page number","Identify everyone in a photo"
"Consistent margins across every page of a publication:","Make the book feel unified","Increase the number of photos that fit","Remove the need for a gutter","Change the trim size"
"An internal deadline in a production calendar exists to:","Keep pages moving so the final printing deadline is met","Replace the publisher deadline","Decide the theme","Assign photo credits"
"An eyeline that leads off the outer edge of a spread:","Pulls the reader's eye away from the page","Improves the dominant photo","Corrects the gutter","Adds white space"
"Aperture, the f number, controls:","How wide the lens opens","How long the sensor is exposed","How sensitive the sensor is","The color of the light"
"A low f number gives you:","A blurry background and more light","Everything in focus and less light","Faster shutter speeds only","Less noise automatically"
"A fast shutter speed will:","Freeze motion","Blur motion","Widen the aperture","Lower the ISO"
"A slow shutter speed will:","Blur motion","Freeze motion","Sharpen the background","Reduce grain"
"ISO should be raised:","In a dim gym","In bright sunlight","Only outdoors","Only for portraits"
"Raising ISO too far adds:","Grain","Sharpness","Depth of field","Color accuracy"
"Av mode is often called the:","Portrait mode","Sports mode","Night mode","Panorama mode"
"Tv mode is often called the:","Sports mode","Portrait mode","Landscape mode","Macro mode"
"Depth of field describes:","How much is in focus front to back","How bright the photo is","How wide the frame is","How many megapixels are used"
"Shallow depth of field is useful to:","Separate a face from a busy background","Show an entire crowd sharply","Freeze fast motion","Reduce file size"
"Panning means turning with a moving subject so that:","They stay sharp and the background streaks","Everything is frozen","Everything is blurred","The background stays sharp"
