"standard","outcome","dok","scenario_id","scenario","question","option_a","option_b","option_c","option_d","answer"
"1.1.2","1.1 Employability Skills","low","","","To fly a drone commercially in the U.S., a pilot generally must hold a:","Part 107 remote pilot certificate","A standard automobile driver's license","Ham radio operator license","No certificate whatsoever","A"
"1.2.3","1.2 Leadership & Communications","low","","","Clear callouts between a drone pilot and a visual observer are:","Effective team communication","Geographic data analysis","Basic weather forecasting","Routine battery service","A"
"1.3.1","1.3 Business Ethics & Law","low","","","Operating a drone in line with FAA rules is an example of:","Regulatory compliance","A marketing strategy","Aerodynamic design","Audio sound design","A"
"1.4.3","1.4 Knowledge Management & IT","high","","","A resident objects to a camera drone hovering over their yard. This involves:","Privacy and data rights","Choosing a page font","Setting a shutter speed","Balancing the photo colors","A"
"1.6.5","1.6 Business Literacy","low","","","In a drone company, a chart of who reports to whom shows the:","Organizational structure","Aircraft flight envelope","Aircraft center of gravity","Current weather report","A"
"1.7.10","1.7 Entrepreneurship","low","","","Job shadowing and internships are ways for a student to:","Gain experience in a career","Register a small aircraft","Calculate the load factor","Read a sectional chart","A"
"1.8.8","1.8 Operations Management","low","","","Routinely inspecting and charging drone batteries is part of:","Maintaining the equipment","Marketing the business","Classifying the airspace","Interpreting GIS data","A"
"1.10.8","1.10 Sales & Marketing","low","","","Advertising and public relations to raise sales are examples of:","Promotional techniques","Preflight safety checks","Emergency descent moves","Wind-shear avoidance","A"
"2.1.9","2.1 Facility Safety","low","","","A Safety Data Sheet (SDS) gives information about a:","Material's hazards and handling","Drone's planned flight path","Day's local weather forecast","Camera's image resolution","A"
"2.2.2","2.2 Personal Safety","low","","","Operating a drone under the influence of drugs or alcohol:","Raises risk and is prohibited","Is allowed if you fly low","Improves the pilot's reaction","Has no effect on safety","A"
"7.1.5","7.1 Aviation Industry","low","","","The U.S. agency that regulates airspace and drone operations is the:","FAA","FCC","NASA","OSHA","A"
"7.4.2","7.4 Aerodynamics","low","","","The four forces of flight are:","Lift, weight, thrust, drag","Pitch, roll, yaw, hover","Wind, rain, sun, fog","Volts, amps, watts, load","A"
"7.4.2","7.4 Aerodynamics","low","","","Rotation about the vertical axis, swinging the nose left or right, is:","Yaw","Pitch","Roll","Lift","A"
"7.5.3","7.5 Airport Environments","high","","","A standard airport traffic pattern exists mainly to:","Separate aircraft for landing","Conserve the aircraft battery","Increase aerodynamic lift","Improve the GPS accuracy","A"
"7.6.13","7.6 Meteorology","low","","","A crosswind is wind that:","Blows across the flight path","Blows straight toward the ground","Occurs only during the night","Comes from directly behind","A"
"7.6.11","7.6 Meteorology","low","","","Gusty, unstable air that can suddenly move a drone is called:","Turbulence","A NOTAM","A sectional","A waiver","A"
"7.7.6","7.7 Air Traffic Control & Communication","low","","","Aviation voice radios operate mainly on which band?","VHF band","AM band","Bluetooth","5 GHz Wi-Fi","A"
"7.8.2","7.8 Human Factors","low","","","Believing 'the rules don't apply to me' is a hazardous attitude called:","Anti-authority","Professionalism","Full awareness","Team building","A"
"7.9.2","7.9 Small UAS","low","","","In the U.S., most drones over 0.55 lb must be:","Registered with the FAA","Painted a bright color","Insured for one million","Flown only indoors","A"
"7.9.7","7.9 Small UAS","low","","","The main role of a visual observer during a flight is to:","Help see and avoid hazards","Edit the recorded video","Charge the spare batteries","File the company taxes","A"
"7.10.2","7.10 Geographic Information Systems","low","","","Collecting ground data with a drone camera or sensor is called:","Remote sensing","Foley recording","Font kerning","Audio mixing","A"
"7.10.10","7.10 Geographic Information Systems","low","","","On a drone, GPS is used mainly to:","Find the aircraft's position","Increase the propeller size","Record the onboard audio","Set the camera aperture","A"
"7.11.6","7.11 Preflight Preparation","low","","","A NOTAM (Notice to Air Missions) tells pilots about:","Temporary flight hazards or changes","Weather expected next month","Manufacturer-recommended battery brands","Preferred camera settings","A"
"7.11.2","7.11 Preflight Preparation","low","","","An aircraft described as 'airworthy' is:","In a safe condition to fly","Only fully charged up","Only freshly repainted","Only registered on file","A"
"7.11.18","7.11 Preflight Preparation","high","","","Confirming GPS lock, battery, and controller link just before launch is the:","Before-takeoff check","Postflight data archive","Company marketing plan","Weekly payroll process","A"
"7.13.14","7.13 Flight Environment","low","","","'Straight-and-level flight' means holding a:","Constant heading and altitude","Continuous steady climb","A continuous steady banked turn","Maximum throttle setting","A"
