"Question","Correct Answer","Incorrect Answer 1","Incorrect Answer 2","Incorrect Answer 3"
"Part 107 is the FAA rule set that covers:","Commercial small drone operations","Recreational model rockets","Manned airline operations","Amateur radio licensing"
"The minimum age to hold a Part 107 remote pilot certificate is:","16 years old","14 years old","18 years old","21 years old"
"To earn a Part 107 certificate you must pass:","An FAA aeronautical knowledge test","A flight skills road test","A physical fitness exam","An online safety video only"
"A Part 107 certificate holder must stay current by:","Completing recurrent training","Reapplying every month","Buying a new drone yearly","Logging 100 flight hours"
"TRUST is required for:","Recreational drone flyers","Commercial operators only","Airline pilots","Air traffic controllers"
"The key difference between TRUST and Part 107 is:","TRUST is recreational, Part 107 is commercial","They are the same credential","TRUST replaced Part 107","Part 107 is only for children"
"Most drones weighing more than 0.55 pounds must be:","Registered with the FAA","Insured by the operator","Painted orange","Inspected annually by a mechanic"
"Under Part 107, the maximum altitude above ground level is generally:","400 feet","100 feet","1,000 feet","5,000 feet"
"Under Part 107, the maximum allowed groundspeed is:","100 miles per hour","30 miles per hour","200 miles per hour","There is no limit"
"Under Part 107, how many aircraft may one remote pilot fly at a time?","One","Two","Three","As many as they can see"
"Operating a drone carelessly or recklessly is:","Prohibited under Part 107","Allowed in Class G","Allowed with a visual observer","Allowed below 100 feet"
"When a Part 107 rule blocks an operation, a pilot may apply for:","A waiver","A refund","A new registration","An extension"
"RPIC stands for:","Remote Pilot in Command","Registered Pilot Identity Card","Remote Payload Inspection Check","Rotor Power Input Control"
"How many remote pilots in command are responsible for a single flight?","Exactly one","Two","One per propeller","As many as are present"
"Ultimate responsibility for the safety of a flight rests with:","The remote pilot in command","The visual observer","The drone manufacturer","Air traffic control"
"A visual observer's job is to:","Keep eyes on the aircraft and the surrounding area","Fly the aircraft","Edit the footage","Charge the batteries"
"VLOS means the pilot can see the aircraft:","With unaided vision","Through the camera feed","With binoculars","On a radar display"
"Watching the aircraft only through the controller screen:","Does not satisfy visual line of sight","Fully satisfies visual line of sight","Is required by Part 107","Replaces the visual observer"
"Flying beyond visual line of sight without a waiver is:","Not permitted under Part 107","Permitted in Class G","Permitted with an observer","Permitted below 200 feet"
"The four forces of flight are:","Lift, weight, thrust, and drag","Pitch, roll, yaw, and hover","Wind, rain, sun, and fog","Volts, amps, watts, and load"
"Lift is the force that:","Holds the aircraft up","Pulls the aircraft toward the ground","Pushes the aircraft forward","Resists forward motion"
"Weight is the force that:","Pulls the aircraft toward the ground","Holds the aircraft up","Pushes the aircraft forward","Slows the propellers"
"Thrust is produced by:","The motors and propellers","Gravity","The wind","The battery case"
"Drag is:","Air resisting the aircraft as it moves","The force holding the aircraft up","Gravity acting on the battery","The torque of the motors"
"Center of gravity is:","The balance point of the aircraft","The heaviest single motor","The center of the propeller arc","The midpoint of the flight path"
"Adding a heavy accessory to one side of a drone will most likely:","Shift the center of gravity and hurt control","Increase battery life","Reduce drag","Improve the camera quality"
"UAS stands for:","Unmanned Aircraft System","Universal Aviation Standard","United Airspace Service","Unmanned Altitude Sensor"
"A UAS is made up of:","The aircraft, the controller, and the link between them","Only the aircraft","Only the controller","The pilot and the observer"
"Controlled airspace means:","Someone is responsible for separating air traffic","No aircraft may enter","Drones are permanently banned","Weather reports are unnecessary"
"The controlled airspace classes are:","B, C, D, and E","F, G, H, and I","Only A and B","Only G"
"Class G airspace is:","Uncontrolled","The most restricted","Reserved for the military","Only found above 18,000 feet"
"In uncontrolled airspace, avoiding other traffic is:","The pilot's responsibility","Air traffic control's responsibility","The manufacturer's responsibility","Not required at all"
"LAANC is the system that provides:","Near instant authorization to fly in controlled airspace","Live weather video","Automatic flight logging","Battery health reports"
"A sectional chart is:","The aviation map showing airspace","A weather forecast","A maintenance record","A battery specification sheet"
"The ceiling for a drone at a given location is:","The highest altitude allowed there","The lowest cloud layer","The maximum battery temperature","The distance limit from the pilot"
"A METAR is:","A coded weather observation from an airport","A notice about temporary hazards","An airspace authorization","A flight log entry"
"A METAR is normally updated:","Hourly","Once a week","Every ten seconds","Once a month"
"A NOTAM is:","A notice about something that changed or is hazardous","A coded weather observation","A pilot certificate","A propeller specification"
"The difference between a METAR and a NOTAM is:","A METAR reports weather, a NOTAM reports a hazard or restriction","They are the same document","A NOTAM only covers wind","A METAR is issued once a year"
"Part 107 requires a minimum flight visibility of:","3 statute miles","1 statute mile","10 statute miles","No minimum"
"Part 107 cloud clearance requires staying:","500 feet below and 2,000 feet horizontally from clouds","100 feet below and 500 feet horizontally","Directly under the cloud layer","Above all cloud layers"
"High winds on flight day should lead the pilot to:","Make a no-go decision if they exceed the limits","Fly anyway at low altitude","Fly with a second observer","Increase the maximum altitude"
"A preflight inspection is performed:","Before every flight, from a checklist","Once at the start of the year","Only after a crash","Only when the pilot feels unsure"
"Skipping a preflight inspection because the previous flight went well is:","Unacceptable, an inspection is required before every flight","Acceptable in good weather","Acceptable for experienced pilots","Acceptable in uncontrolled airspace"
"Airworthy means the aircraft is:","In a condition safe to fly","Registered with the FAA","Fully charged","Newly purchased"
"Who determines that the aircraft is airworthy?","The remote pilot in command","The manufacturer","Air traffic control","The visual observer"
"Propellers should be inspected for:","Cracks and chips","Brand markings","Matching colors","Serial numbers only"
"Lost link describes a situation where:","The aircraft stops receiving the controller signal","The camera feed looks grainy","The battery is below half","The GPS is updating"
"Return to Home causes the drone to:","Fly back to its recorded takeoff point","Land immediately in place","Hover until the battery dies","Shut off the motors"
"The home point should be set:","At launch, each flight","Once per school year","After landing","Only when the drone drifts"
"A go or no-go decision should be based on:","The rules and honest judgment","Hoping the weather holds","How many people are watching","How new the aircraft is"
"Yaw is the rotation that:","Swings the nose left or right","Tilts the nose up or down","Tilts the aircraft side to side","Moves the aircraft straight up"
"Pitch is the rotation that:","Tilts the nose forward or back","Swings the nose left or right","Rolls the aircraft sideways","Changes the altitude directly"
"Roll is the rotation that:","Tilts the aircraft side to side","Swings the nose left or right","Tilts the nose forward or back","Spins the propellers faster"
"Throttle input controls the aircraft's:","Altitude","Nose direction","Camera angle","Battery output"
"On a Mode 2 controller, the left stick controls:","Throttle and yaw","Pitch and roll","Camera zoom and tilt","Return to Home"
"On a Mode 2 controller, the right stick controls:","Pitch and roll","Throttle and yaw","Gimbal tilt","Landing gear"
"Smooth, usable video comes from:","Small, gentle stick inputs","Fast, large stick inputs","Flying at maximum speed","Frequent sharp direction changes"
"A documentation photo is taken to:","Serve as a clear record","Win a photo contest","Show artistic style","Test the battery"
"A flight log should record:","Aircraft, pilot, duration, and notes","Only the weather","Only the battery voltage","Only the footage file name"
