"standard","outcome","dok","scenario_id","scenario","question","option_a","option_b","option_c","option_d","answer"
"7.5.4","7.5 Typography","low","","","A typeface with small strokes on the ends of its letters is classified as:","Serif","Sans serif","Monospace","Script","A"
"7.5.2","7.5 Typography","high","","","A headline is set in a bold slab typeface and the body copy in a light sans serif. This is an example of:","Type pairing with deliberate contrast","Kerning adjustment","A monochromatic palette","Raster compression","A"
"7.5.2","7.5 Typography","high","","","A poster uses four different decorative typefaces. The most likely result is:","The design reads as messy and the hierarchy weakens","Stronger separation between information levels","Improved print color accuracy","A smaller exported file","A"
"7.5.4","7.5 Typography","high","","","For a long block of fine print at a small size, the most appropriate typeface choice is:","A clean, highly legible typeface","A decorative display typeface","A script typeface","An all-caps condensed typeface","A"
"7.2.10","7.2 Multimedia Tools","high","DT-S1","A student designs an 18 by 24 inch poster for a school blood drive. The headline, the date and location, and the sponsor fine print are all set in the same typeface at nearly the same size. The background is a busy photograph, and all of the text is a medium gray.","The single biggest hierarchy problem in this poster is:","There is no clear focal point because the levels are nearly the same size","The canvas dimensions are incorrect for a poster","The poster uses too few total colors","The photograph is raster rather than vector","A"
"7.4.2","7.4 Graphics","high","DT-S1","A student designs an 18 by 24 inch poster for a school blood drive. The headline, the date and location, and the sponsor fine print are all set in the same typeface at nearly the same size. The background is a busy photograph, and all of the text is a medium gray.","The most effective single fix for medium gray text sitting on a busy photograph is:","Increase the contrast between the text and its background","Convert the document from RGB to CMYK","Add a second decorative typeface","Reduce the canvas size","A"
"7.2.10","7.2 Multimedia Tools","high","DT-S1","A student designs an 18 by 24 inch poster for a school blood drive. The headline, the date and location, and the sponsor fine print are all set in the same typeface at nearly the same size. The background is a busy photograph, and all of the text is a medium gray.","To establish a clear reading order the designer should first:","Create a real size jump between the headline, the details, and the fine print","Center every element on the page","Set every line of text in bold","Convert all text to vector outlines","A"
"7.2.10","7.2 Multimedia Tools","low","","","Visual hierarchy is best defined as:","The order in which a viewer notices elements","The number of layers in a design file","The ratio of the canvas width to its height","The spacing between individual letters","A"
"7.4.2","7.4 Graphics","low","","","Visual weight is determined mainly by:","Size, color, and contrast","File format and resolution","The number of typefaces used","The export color mode","A"
"7.2.10","7.2 Multimedia Tools","high","","","A designer squints at a poster and two elements remain equally readable. This indicates that:","The focal point is not clearly established","The contrast is too high","There is too much whitespace","The file resolution is too low","A"
"7.2.10","7.2 Multimedia Tools","high","","","Generous whitespace around a headline primarily:","Increases the prominence of the headline","Reduces the exported file size","Improves print color accuracy","Adds visual weight to the fine print","A"
"7.2.10","7.2 Multimedia Tools","high","","","Placing the date, time, and location close together and away from the fine print applies the principle of:","Proximity","Saturation","Bleed","Kerning","A"
"7.2.10","7.2 Multimedia Tools","high","","","Aligning elements to shared edges primarily:","Creates an organized structure that guides the eye","Increases the saturation of the colors","Converts raster elements to vector","Reduces the number of layers","A"
"7.4.2","7.4 Graphics","high","","","Applying one bright accent color to a single element on an otherwise muted poster will most likely:","Draw the eye to that element first","Flatten the hierarchy of the page","Cause the poster to print darker overall","Increase the image resolution","A"
"7.4.2","7.4 Graphics","high","","","A poster uses five highly saturated competing colors. The most likely effect on hierarchy is that it:","Weakens, because no single element dominates","Strengthens, because more colors add contrast","Stays the same, since color does not affect hierarchy","Changes only in print, not on screen","A"
