"standard","outcome","dok","scenario_id","scenario","question","option_a","option_b","option_c","option_d","answer"
"7.4.1","7.7 Video","high","VS-S1","A student photographs a portrait indoors under warm tungsten lamps. The camera is set to record JPEG and the white balance is left on the daylight preset. In the resulting image the subject's white shirt looks strongly orange, and the bright highlights on the forehead show no detail at all.","The orange color cast is caused by:","A white balance setting that does not match the light source","An ISO setting that is too low","An aperture that is too wide","A shutter speed that is too fast","A"
"7.3.7","7.3 Production","high","VS-S1","A student photographs a portrait indoors under warm tungsten lamps. The camera is set to record JPEG and the white balance is left on the daylight preset. In the resulting image the subject's white shirt looks strongly orange, and the bright highlights on the forehead show no detail at all.","The complete loss of detail in the forehead highlights indicates that those areas are:","Overexposed and clipped","Underexposed","Out of focus","Saved in the wrong folder","A"
"7.7.4","7.7 Video","high","VS-S1","A student photographs a portrait indoors under warm tungsten lamps. The camera is set to record JPEG and the white balance is left on the daylight preset. In the resulting image the subject's white shirt looks strongly orange, and the bright highlights on the forehead show no detail at all.","Recovering the shirt's true color in editing would have been easiest if the student had:","Shot in RAW instead of JPEG","Used a higher ISO","Used a faster shutter speed","Cropped the frame tighter","A"
"7.7.4","7.7 Video","high","","","The primary advantage of RAW over JPEG when a white balance error occurs is that RAW:","Retains the full sensor data, so color can be reset with no loss of quality","Produces a smaller file that loads faster","Corrects the color automatically","Cannot be edited, which protects the original","A"
"7.4.1","7.7 Video","low","","","Color temperature is measured in:","Kelvin","F-stops","Decibels","Megapixels","A"
"7.4.1","7.7 Video","high","","","An image photographed in open shade with no white balance correction typically appears:","Too blue","Too orange","Too green","Correctly balanced","A"
"7.3.5","7.3 Production","high","","","The white balance eyedropper gives the most accurate correction when clicked on an area that should be:","Neutral gray or white","The brightest highlight in the frame","A strongly saturated red","Pure black","A"
"7.3.7","7.3 Production","low","","","Non-destructive editing means that:","The original file is never altered","Edits cannot be undone later","The file is flattened when saved","The RAW file is deleted after export","A"
"7.3.7","7.3 Production","high","","","A histogram with a tall spike pressed hard against the right edge indicates:","Clipped highlights with lost detail","Clipped shadows with lost detail","A correctly balanced exposure","Excessive color saturation","A"
"7.3.7","7.3 Production","high","","","To recover detail in a blown out sky without darkening the entire image, the best control is the:","Highlights slider","Exposure slider","Vibrance slider","Crop tool","A"
"7.3.7","7.3 Production","high","","","Raising the Shadows slider primarily affects the:","Darkest areas of the image","Brightest areas of the image","Overall color temperature","Aspect ratio of the frame","A"
"7.3.7","7.3 Production","high","","","Which pair of adjustments corrects color and brightness, in that order?","White balance and exposure","Exposure and crop","Crop and vibrance","Vibrance and sharpening","A"
"7.7.4","7.7 Video","low","","","The three controls of the exposure triangle are:","Aperture, shutter speed, and ISO","Hue, saturation, and value","Contrast, clarity, and vibrance","Crop, tone, and color","A"
"7.7.4","7.7 Video","high","","","To photograph a sprinter and freeze the motion, the priority setting is:","A fast shutter speed","A high f number","A low ISO","A wider crop","A"
"7.7.4","7.7 Video","high","","","A photographer wants a portrait with a soft, out of focus background. The most direct choice is:","A low f number such as f/1.8","A high f number such as f/16","A very high ISO","A slow shutter speed","A"
"7.7.4","7.7 Video","high","","","In Av mode the photographer sets the aperture and the camera selects the:","Shutter speed","Aperture","File format","White balance preset","A"
"7.7.4","7.7 Video","high","","","In Tv mode the camera automatically selects the:","Aperture","Shutter speed","ISO only","Focus point","A"
"7.7.4","7.7 Video","high","","","The main trade-off of raising ISO to brighten a shot in a dim gym is:","Increased noise, which appears as grain","Reduced depth of field","A forced slower shutter speed","Complete loss of color","A"
"7.7.4","7.7 Video","high","","","A panning shot is judged successful when:","The moving subject is sharp and the background is streaked","Both the subject and the background are sharp","Both the subject and the background are blurred","The subject is blurred and the background is sharp","A"
"7.7.4","7.7 Video","low","","","Depth of field describes:","How much of the scene is in focus from front to back","How bright the image is overall","How saturated the colors are","How large the file is","A"
"7.3.7","7.3 Production","high","","","Straightening a tilted horizon and improving the framing is accomplished with the:","Crop tool","Exposure slider","White balance eyedropper","Histogram","A"
"7.3.5","7.3 Production","high","","","The rule of thirds suggests placing the primary subject:","Off center, near a dividing line or intersection","Exactly in the center of the frame","At the extreme outer edge of the frame","Below the bottom third of the frame","A"
"2.10.7","2.10 Equipment","high","","","A student submits a file named IMG_4821.CR2. The two problems with this submission are that:","The name identifies neither the student nor the content, and a RAW file will not open for everyone","The file is too small and too low in quality","The file is overexposed and misnamed","The extension is invalid and the file is corrupt","A"
"2.10.7","2.10 Equipment","low","","","Our naming convention for submitted photos is:","lastname-what-it-is.jpg","The camera default file name","The date only","The student first name only","A"
"2.10.7","2.10 Equipment","high","","","A correct before and after submission consists of:","The unedited original exported as a JPG and the edited version exported as a JPG","The RAW file and the editable project file","Two photographs of different subjects","The same file uploaded twice","A"
"2.10.7","2.10 Equipment","high","","","A student finishes an edit but nothing appears under Your work on the assignment. The correct conclusion is that:","The file was never actually submitted","The work has already been graded","The file was converted to RAW","Classroom renamed the file automatically","A"
"2.10.5","2.10 Equipment","low","","","Offloading means:","Copying files from the memory card to Drive","Deleting files from the memory card","Formatting the memory card","Printing the files","A"
"2.10.5","2.10 Equipment","high","","","Treating a memory card as permanent storage is risky because:","Cards get reused and files can be overwritten or lost","Cards convert files to RAW over time","Cards reduce image resolution over time","Cards cannot be read by computers","A"
"7.3.7","7.3 Production","high","","","Increasing Vibrance primarily changes the image's:","Color intensity","Overall brightness","Focus sharpness","Crop ratio","A"
"7.4.1","7.7 Video","high","","","Two photographs of the same subject, one beside a window and one under classroom fluorescent light, will differ most obviously in:","Color temperature","Depth of field","Resolution","Aspect ratio","A"
