"standard","outcome","dok","scenario_id","scenario","question","option_a","option_b","option_c","option_d","answer"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","high","","","[SCREENSHOT 1] Look at the blocks. After this runs, what is the value of score?","3","0","5","8","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","high","","","[SCREENSHOT 2] Look at the blocks. What does the screen say?","NOT BIG","BIG","Both messages appear","Nothing appears","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","high","","","[SCREENSHOT 3] Look at the blocks. What does the screen say?","NO","YES","Both messages appear","Nothing appears","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","high","","","[SCREENSHOT 4] Look at the blocks. What does the screen say?","OPEN","LOCKED","Both messages appear","Nothing appears","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","high","","","[SCREENSHOT 5] Look at the blocks. After this runs, what are the values of score and lives?","score 10, lives 3","score 7, lives 2","score 10, lives 2","score 7, lives 3","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","high","","","[SCREENSHOT 6] Look at the blocks. After this runs, what is the value of count?","4","1","3","0","A"
"ATP Control Structures","ATP Algorithmic Thinking and Programming","high","","","[SCREENSHOT 7] Look at the blocks. What background color is set?","Yellow","Blue","Red","No color is set","A"
"ATP Algorithms","ATP Algorithmic Thinking and Programming","high","","","[SCREENSHOT 8] Look at the blocks. How many times does the splash appear as score goes from 1 to 10?","2","5","10","1","A"
"ATP Variables and Data Representation","ATP Algorithmic Thinking and Programming","high","","","[SCREENSHOT 9] Look at the blocks. A player touches 3 items. What is the score afterward?","3","1","0","6","A"
"ATP Algorithms","ATP Algorithmic Thinking and Programming","high","","","[SCREENSHOT 10] Look at the blocks. There are 5 items in the maze. What happens when the player collects all of them?","Nothing, because the if block is checking for the wrong number","The game ends as a win","The game ends as a loss","The score resets to zero","A"
"ATP Algorithms","ATP Algorithmic Thinking and Programming","high","","","[SCREENSHOT 11] Look at the blocks. The player starts with 3 lives and touches an enemy twice. What happens?","Lives drops to 1 and the game keeps going","The game ends immediately","Lives stays at 3","Lives drops to 0 and the game ends","A"
"ATP Algorithms","ATP Algorithmic Thinking and Programming","high","","","[SCREENSHOT 12] Look at the blocks. Why does the 'LEVEL UP' splash never appear, no matter how high the score gets?","The second condition can never be true at the same time as the first","The splash block is in the wrong category","Variables cannot be compared to numbers","The score is never changed","A"
