"standard","outcome","dok","scenario_id","scenario","question","option_a","option_b","option_c","option_d","answer"
"7.5.4","Ohio Interactive Media","low","","","A typeface with small strokes on the ends of its letters is:","Serif","Sans serif","Script","Monospace","A"
"7.5.4","Ohio Interactive Media","low","","","A typeface with no strokes on the ends of its letters is:","Sans serif","Serif","Slab","Display","A"
"7.5.2","Ohio Interactive Media","high","","","Pairing a bold slab headline with a light sans body works because the two are:","Clearly different from each other, so the reader knows which to read first","From the same family","The same weight","Both decorative","A"
"7.5.2","Ohio Interactive Media","high","","","A poster using four different decorative typefaces most likely looks:","Chaotic, because nothing establishes an order to read in","Elegant","Professional","Minimal","A"
"7.5.4","Ohio Interactive Media","high","","","For a long block of small fine print, the most appropriate choice is:","A simple, highly legible typeface at a readable size","A decorative script","A heavy display face","A face with very thin strokes","A"
"7.5","Ohio Interactive Media","low","","","The weight of a typeface refers to:","How thick or thin its strokes are","Its size in points","How much space it takes up","Its color","A"
"7.2.10","Ohio Interactive Media","high","","","Hierarchy in a design is:","The order in which a viewer notices things","How many colors are used","The file size of the design","The alignment of the edges","A"
"7.2.10","Ohio Interactive Media","high","","","A design where every element is the same size has:","No clear hierarchy, so the viewer does not know where to look first","Perfect balance","Strong contrast","Good proximity","A"
"7.2.10","Ohio Interactive Media","high","","","The squint test is used to check:","Whether the most important element still stands out when detail disappears","Whether the colors are accurate","Whether the file exported correctly","Whether the text is spelled correctly","A"
"7.2.10","Ohio Interactive Media","high","","","Medium gray text on a busy photograph is hard to read. The most effective single fix is:","Increase the contrast between the text and what is behind it","Make the text slightly larger","Change the typeface","Move the text down","A"
"7.2.10","Ohio Interactive Media","low","","","Contrast, in design, means:","A difference that makes one thing stand out from another","Using only two colors","Making everything the same size","Aligning edges","A"
"7.2.10","Ohio Interactive Media","high","","","Proximity is the principle that:","Related things are placed near each other and unrelated things apart","Everything should be centered","Text should be large","Colors should be complementary","A"
"7.2.10","Ohio Interactive Media","low","","","Whitespace is:","Empty space used on purpose","Space that was left over by mistake","Always white in color","Wasted area that should be filled","A"
"7.4.2","Ohio Interactive Media","high","","","Alignment in a layout means:","Edges lining up on purpose","Centering everything","Using a grid of squares","Spacing items evenly","A"
"7.4.2","Ohio Interactive Media","high","","","A layout where some elements are centered and others are left aligned usually looks:","Unintentional, because the eye notices the inconsistent edges","Dynamic","Balanced","Modern","A"
"7.4.2","Ohio Interactive Media","high","","","A focal point is:","The element a viewer is meant to notice first","The center of the page","The largest color area","The background image","A"
"7.4.7","Ohio Interactive Media","high","","","You are exporting a poster to hand in and to put on a website. The right pair is:","A PDF to submit and a PNG or JPG to display online","Two PDFs","A PSD and a PDF","Only the editable project file","A"
"7.4.7","Ohio Interactive Media","high","","","Delivering an editable project file instead of an exported image is a problem because:","The recipient may not have the software or fonts to open it correctly","Project files are always too small","It cannot be emailed","Project files lose color","A"
"2.15.1","Ohio Interactive Media","low","","","UX stands for:","User experience","User exchange","Universal export","Unified extension","A"
"2.15.1","Ohio Interactive Media","low","","","UI stands for:","User interface","Universal identity","Usability index","User integration","A"
"2.15.1","Ohio Interactive Media","high","","","The difference between UX and UI is best described as:","UX is how it feels to use something, UI is the actual screens and controls","UX is for phones and UI is for computers","They are two names for the same thing","UI comes first and UX comes after","A"
"2.15.1","Ohio Interactive Media","high","","","Good UI with bad UX describes a product that is:","Attractive but hard to actually use","Ugly but functional","Fast but unreliable","Cheap but well made","A"
"2.15.1","Ohio Interactive Media","low","","","A wireframe is:","A low-detail sketch of a screen's structure, using boxes and labels","A finished visual design","A list of features","The code behind a screen","A"
"2.15.1","Ohio Interactive Media","high","","","Wireframes are made before finished visuals because:","It is much cheaper to be wrong on paper than after something is built","Clients prefer black and white","Color takes too long to choose","They are required by law","A"
"2.15.1","Ohio Interactive Media","low","","","A prototype is:","A rough, connected version used to test whether something works","The finished product","A written description of a design","A style guide","A"
"2.15.1","Ohio Interactive Media","high","","","A user journey is:","The path a person takes through a product to get what they need","A list of every feature","The order pages were designed in","How long a person stays on a site","A"
"7.1.2","Ohio Interactive Media","low","","","A tab bar is:","A row of a few destinations pinned to the bottom of a screen","A menu hidden behind three lines","A pop-up over the screen","A list of search results","A"
"7.1.2","Ohio Interactive Media","high","","","By convention, a back button belongs:","In the top left, in the same place on every screen","In the bottom right","Wherever there is space","Only on the home screen","A"
"7.1.2","Ohio Interactive Media","high","","","Breaking a well-known convention, like moving the back button, costs you because:","Every person using the product pays a small amount of attention on every screen","It is technically harder to build","It looks old fashioned","It uses more memory","A"
"7.1.2","Ohio Interactive Media","high","","","How many primary actions should a screen have?","One","Two","As many as will fit","None","A"
"7.1.2","Ohio Interactive Media","high","","","Which is NOT a reliable way to make a primary action stand out?","Placing it wherever there happens to be room","Making it larger than what is near it","Giving it the only saturated color on the screen","Putting empty space around it","A"
"7.1.2","Ohio Interactive Media","low","","","An empty state is:","What a screen shows when there is nothing in it yet","A screen that failed to load","A blank page left in by mistake","The loading animation","A"
