"Question","Correct Answer","Incorrect Answer 1","Incorrect Answer 2","Incorrect Answer 3"
"The four forces of flight are:","Lift, weight, thrust, and drag","Pitch, roll, yaw, and hover","Wind, rain, sun, and fog","Volts, amps, watts, and load"
"Lift is the force that:","Holds the aircraft up","Pulls the aircraft down","Pushes the aircraft forward","Resists forward motion"
"Drag is:","Air resisting the aircraft as it moves","The force holding the aircraft up","Gravity pulling the aircraft down","The power from the motors"
"Thrust comes from:","The motors","Gravity","The wind","The battery temperature"
"Weight includes:","The aircraft, battery, and anything attached","Only the airframe","Only the battery","Only the payload"
"Center of gravity is:","The balance point of the aircraft","The heaviest motor","The center of the propellers","The midpoint of the flight path"
"UAS stands for:","Unmanned Aircraft System","Universal Aviation Standard","United Airspace Service","Unmanned Altitude Sensor"
"A UAS includes:","The aircraft, the controller, and the link between them","Only the aircraft","Only the controller","The pilot and the observer"
"Part 107 governs flying a small drone:","For anything other than recreation","Only indoors","Only above 400 feet","Only at night"
"TRUST is:","The recreational UAS safety test","A commercial pilot certificate","A weather reporting system","An airspace authorization tool"
"The difference between Part 107 and TRUST is:","Part 107 is a commercial certificate, TRUST is a recreational safety test","They are the same test","TRUST replaces Part 107","Part 107 is only for model aircraft"
"RPIC stands for:","Remote Pilot in Command","Registered Pilot Identification Code","Remote Payload Inspection Check","Rotor Power Input Control"
"How many RPICs are responsible for a single flight?","Exactly one","Two","One per propeller","As many as are present"
"Most drones over 0.55 pounds must be:","Registered with the FAA","Insured by the school","Flown only indoors","Painted a bright color"
"The ODOT course we started leads toward:","The Part 107 knowledge test","A private pilot license","An air traffic control rating","A mechanic certificate"
"A visual observer's only job is to:","Keep eyes on the aircraft and the area","Fly the aircraft","Edit the footage","Charge the batteries"
"VLOS means you can see the aircraft:","With your own eyes, unaided","Through the camera feed","With binoculars","On a radar screen"
"Using binoculars to keep the aircraft in sight:","Does not satisfy VLOS","Fully satisfies VLOS","Is required by Part 107","Replaces the visual observer"
"Flying beyond visual line of sight without a waiver is:","Not allowed under Part 107","Allowed at any altitude","Allowed with a visual observer","Allowed in Class G only"
