"standard","outcome","dok","scenario_id","scenario","question","option_a","option_b","option_c","option_d","answer"
"1.1.5","1.1 Employability Skills","low","","","In the hiring process, a demo reel or portfolio is used to:","Show samples of your work to potential employers","Replace the contact information on a resume","Prove that you personally own a camera","Take the place of a job interview","A"
"1.2.9","1.2 Leadership & Communications","low","","","A disadvantage of using email for client communication is that it:","Lacks nonverbal cues, so tone can be misread","Cannot include any attachments","Is always slower than postal mail","Can reach only one person, ever","A"
"1.3.8","1.3 Business Ethics & Law","low","","","Using a popular commercial song in your video without permission is:","Copyright infringement unless you obtain a license","Always acceptable for school projects","Acceptable as long as you shorten the clip","Acceptable as long as you credit the artist","A"
"1.7.13","1.7 Entrepreneurship","low","","","A production company's original logo is best protected as a:","Trademark","Patent","Zoning permit","Warranty","A"
"1.8.2","1.8 Operations Management","low","","","Reserving the cameras, lights, and crew needed for a shoot day is an example of:","Organizing resources to produce a product or service","Color grading the footage","Exporting the final file","Mixing the audio","A"
"2.4.4","2.4 Emerging Technologies","low","","","Which of these is an example of an emerging technology in media production?","AI-based tools and machine learning","A film-reel splicer","A rotary telephone","A manual typewriter","A"
"2.9.2","2.9 Project Concept Proposal","low","","","A project's 'scope' defines:","What is and is not included in the project","The camera's zoom range","The final export file size","The color temperature of the lights","A"
"2.9.5","2.9 Project Concept Proposal","low","","","A production schedule primarily lays out the:","Tasks, responsibilities, and deadlines for the project","Color profile of the footage","Brand of the microphones","Seating chart for the crew","A"
"2.10.7","2.10 Equipment","low","","","The best practice immediately after a shoot is to:","Offload and back up the footage before reusing the card","Format the card right away to save space","Leave the footage only on the memory card","Delete the shots you dislike directly on the card","A"
"7.1.1","7.1 Interactive Media","low","","","Which of these is an example of interactive media?","A mobile app the user taps and swipes through","A printed poster","A one-way radio advertisement","A film shown with no viewer controls","A"
"7.1.9","7.1 Interactive Media","low","","","Within interactive media, video is commonly used for:","Advertising, training, education, and entertainment","Printing only","Audio playback only","Spreadsheet calculations only","A"
"7.2.7","7.2 Multimedia Tools","low","","","Warm colors such as red and orange most often communicate:","Energy, warmth, or urgency","Only calm and coldness","No feeling at all","The file's size","A"
"7.2.5","7.2 Multimedia Tools","low","","","A shot list is best described as:","A planned list of the shots the crew needs to capture","The final edited timeline","The finished audio mix","The export color profile","A"
"7.3.1","7.3 Production","low","","","Which of these are the media elements combined in a production?","Video, sound, graphics, text, and animation","Only the tripod","Only the lens","Only the export button","A"
"7.3.6","7.3 Production","low","","","Bringing recorded clips into an editing timeline is called:","Importing (incorporating) the footage","Exporting the footage","Rendering the footage","Rasterizing the footage","A"
"7.3.2","7.3 Production","low","","","Adding a lower-third name graphic to an interview is an example of:","Generating text and titles for the production","Recording room tone","Setting the camera's ISO","Choosing a lens","A"
"7.7.1","7.7 Video","low","","","Which of these is a common type of video camera?","A DSLR or mirrorless camera","A darkroom enlarger","A dot-matrix printer","A reel-to-reel tape deck","A"
"7.7.5","7.7 Video","low","","","Adobe Premiere is an example of a:","Nonlinear editing system (NLE)","Camera lens","Microphone","Color profile","A"
"7.7.6","7.7 Video","low","","","A dissolve, a wipe, and a cut are all types of:","Transitions between shots","Microphones","Color modes","Lens filters","A"
"7.8.6","7.8 Audio","low","","","Audio recorded so loud that it distorts is described as:","Clipping","Room tone","Panning","Leading","A"
"7.8.1","7.8 Audio","low","","","'Room tone' is recorded so that editors can:","Fill gaps and smooth edits in the audio","Increase the video resolution","Brighten the image","Set the aperture","A"
"7.8.5","7.8 Audio","low","","","In audio post-production, 'Foley' refers to:","Performed sound effects (e.g., footsteps) recorded and added later","A type of camera movement","A kind of lens","A color profile","A"
"7.2.10","7.2 Multimedia Tools","low","","","Choosing fonts, colors, and layout that suit the intended viewers is an example of:","Selecting visual design elements appropriate for the audience","Exporting the final file","Formatting the memory card","Calibrating the microphone","A"
"1.1.7","1.1 Employability Skills","high","","","On a shoot, the chosen location turns out to be too noisy for clean audio. The best professional response is to:","Adapt by finding a quieter spot or rescheduling, and document the change","Record anyway and blame the client later","Cancel the entire project","Record and ignore the audio problem","A"
"1.2.2","1.2 Leadership & Communications","high","","","When presenting a rough cut to a client, the most professional approach is to:","Explain your choices clearly and invite specific feedback","Play it silently and leave the room","Refuse to make any changes","Send only the file with no explanation","A"
"2.9.3","2.9 Project Concept Proposal","high","","","Identifying the target audience for a video before production mainly helps the crew to:","Make content and style choices that fit the intended viewers","Skip creating a storyboard","Avoid the editing stage","Select only the export codec","A"
"2.10.6","2.10 Equipment","high","","","A camera will not record to its memory card. Following a systematic check, a good first step is to verify:","Whether the card is full, locked, or needs formatting","Whether the lens cap color matches the tripod","The building's Wi-Fi password","The brand printed on the card's box","A"
"7.1.7","7.1 Interactive Media","high","","","Before using downloaded stock footage in a project, checking its license matters because the license:","Defines how you are legally allowed to use the footage","Sets the video's resolution","Chooses the frame rate","Adjusts the audio levels","A"
"7.3.9","7.3 Production","high","","","Placing narration under video and balancing their levels so both are clear is an example of:","Integrating sound with visuals","Cropping a photograph","Choosing a CMYK profile","Setting the aperture","A"
"7.3.10","7.3 Production","high","","","Before delivering a final video to a client, the crew should:","Test the playback and export, then archive the project files","Delete all of the source clips","Skip the review to save time","Keep the only copy on the camera card","A"
"7.7.4","7.7 Video","high","","","Deciding whether to shoot a project in 1080p or 4K is mainly a decision about the:","Recording format and resolution","Microphone placement","Color of the tripod","Crew's lunch schedule","A"
"7.7.8","7.7 Video","high","","","Exporting a finished video for YouTube means:","Rendering it to a file and format suited to that platform","Deleting the edit timeline","Changing the camera's ISO","Printing it in CMYK","A"
"7.7.2","7.7 Video","high","","","A production schedule for a shoot is developed mainly by analyzing the:","Script and the storyboard","Final export settings","Color wheel","Battery brand","A"
"7.2.4","7.2 Multimedia Tools","high","VS-S1","A student crew is producing a 60-second promotional video for the school robotics club. They will shoot interviews and action footage and then edit it together.","To plan their shots and the order of scenes before filming, the crew should create a:","Storyboard","Final export","Color grade","Audio mix","A"
"7.7.3","7.7 Video","high","VS-S1","A student crew is producing a 60-second promotional video for the school robotics club. They will shoot interviews and action footage and then edit it together.","To light an interview subject well, a common professional setup uses a key light, a fill light, and a:","Back light","Second microphone","Spare tripod","Backup battery","A"
"7.8.4","7.8 Audio","high","VS-S1","A student crew is producing a 60-second promotional video for the school robotics club. They will shoot interviews and action footage and then edit it together.","For the clearest interview dialogue, the crew should place the microphone:","As close to the subject as practical","As far from the subject as possible","Facing away from the subject","Inside a closed case","A"
"7.3.7","7.3 Production","high","VS-S1","A student crew is producing a 60-second promotional video for the school robotics club. They will shoot interviews and action footage and then edit it together.","While editing, removing the unused head and tail of each clip on the timeline is called:","Trimming","Exporting","Foley","White balancing","A"
"7.8.6","7.8 Audio","high","VS-S2","On a shoot, the team plays back a take and the recorded dialogue is so loud that it distorts and sounds unusable.","The distortion the team is hearing on the loud take is called:","Clipping","Room tone","Reverb","Panning","A"
"7.8.8","7.8 Audio","high","VS-S2","On a shoot, the team plays back a take and the recorded dialogue is so loud that it distorts and sounds unusable.","To prevent that distortion on the next take, the crew should:","Lower the input level (gain) so the loudest sounds stay below the top of the meter","Raise the input level to maximum","Move the microphone farther away and hope","Record in a different file format","A"
"7.8.2","7.8 Audio","high","VS-S2","On a shoot, the team plays back a take and the recorded dialogue is so loud that it distorts and sounds unusable.","Earlier, reading the script to list every sound the production would need is called:","Identifying sound requirements from script analysis","Exporting the film","White balancing the shot","Choosing a codec","A"
