"Question","Correct Answer","Incorrect Answer 1","Incorrect Answer 2","Incorrect Answer 3"
"Shooting in RAW instead of JPEG gives you:","More editing room, especially for white balance","A smaller file every time","Automatic sharpening only","No real difference"
"A JPEG differs from a RAW file because a JPEG is:","Compressed and processed by the camera","Always larger than a RAW","Unable to be edited at all","Only used for video"
"RAW files are generally:","Larger than JPEGs","Smaller than JPEGs","The same size as JPEGs","Text files"
"White balance controls a photo's:","Color, warm versus cool","Brightness only","Sharpness only","File size"
"Color temperature is measured in:","Kelvin","Megapixels","Decibels","F-stops"
"A photo shot under indoor tungsten light without correction usually looks:","Too orange","Too blue","Too green","Perfectly neutral"
"To fix a photo that looks too orange you should:","Cool the white balance","Warm the white balance","Raise the ISO","Crop tighter"
"A photo shot in open shade without correction often looks:","Too blue","Too orange","Too yellow","Overexposed"
"The white balance eyedropper works best when clicked on something that should be:","Neutral gray or white","Bright red","Pure black","Out of focus"
"Non-destructive editing means:","The original file is never changed","You must overwrite the original","You cannot undo changes","The RAW is deleted"
"Adobe Camera Raw opens through:","Photoshop","Google Sheets","MakeCode","Google Sites"
"Editing in Camera Raw stores your adjustments:","Separately from the original file","By overwriting the original","Inside the camera","In the printer queue"
"The main reason RAW helps a white balance mistake is that it:","Can be corrected later with no loss of quality","Automatically fixes color for you","Prevents mistakes from happening","Locks the white balance"
"A histogram shows a photo's:","Range of tones from shadows to highlights","File name","GPS location","Lens type"
"A histogram jammed hard against the right edge means the photo is:","Overexposed, losing highlight detail","Underexposed","Out of focus","Too small"
"A histogram jammed hard against the left edge means the photo is:","Underexposed","Overexposed","Too sharp","Too colorful"
"Pulling the Highlights slider down recovers detail in:","The brightest areas","The darkest areas","The middle tones only","The file name"
"Raising the Shadows slider opens up:","The darkest areas","The brightest areas","The color temperature","The crop"
"Increasing Exposure in editing makes the image:","Brighter overall","Sharper overall","Cooler in color","Smaller in size"
"Vibrance mainly boosts:","Color intensity","Image sharpness","File size","Shutter speed"
"Which control fixes color rather than brightness?","White balance","Exposure","Crop","Sharpening"
"Which control fixes brightness rather than color?","Exposure","White balance","Tint","Saturation"
"Cropping changes a photo's:","Framing and composition","Color temperature","ISO setting","File format"
"Straightening a tilted horizon is done with the:","Crop tool","Exposure slider","White balance eyedropper","Histogram"
"The rule of thirds divides the frame into:","Nine equal parts","Two equal halves","Four equal quarters","Sixteen equal parts"
"Good composition advice includes:","Placing the subject off center","Always centering the subject","Filling every corner with detail","Shooting only from eye level"
"The exposure triangle is:","Aperture, shutter speed, and ISO","Hue, saturation, and value","Red, green, and blue","Crop, tone, and color"
"Aperture is written as:","An f number","A shutter fraction","A Kelvin value","A megapixel count"
"A low f number such as f/1.8 gives you:","More light and a blurrier background","Less light and more in focus","A faster shutter automatically","Higher resolution"
"A high f number such as f/16 gives you:","More of the scene in focus","A blurrier background","More light on the sensor","Less noise automatically"
"Shutter speed controls:","How long the sensor is exposed","How wide the lens opens","How sensitive the sensor is","How large the file is"
"To freeze a fast sprint you need a:","Fast shutter speed","Slow shutter speed","High f number only","Low ISO only"
"A slow shutter speed on a moving subject creates:","Motion blur","Frozen motion","More depth of field","Lower noise"
"ISO controls:","How sensitive the sensor is","How wide the lens opens","How long the sensor is exposed","The color of the light"
"Raising ISO too far adds:","Noise, seen as grain","Sharpness","Depth of field","Saturation"
"Raising ISO from 400 to 800 makes the image:","Brighter","Darker","Sharper","Cooler in color"
"Depth of field describes:","How much is in focus front to back","How bright the image is","How saturated the colors are","How large the file is"
"Shallow depth of field means:","The background is soft","Everything is sharp","The image is dark","The colors are muted"
"Av mode means you pick the:","Aperture","Shutter speed","ISO only","White balance"
"In Av mode the camera automatically picks the:","Shutter speed","Aperture","Crop","File format"
"Tv mode means you pick the:","Shutter speed","Aperture","ISO only","Focus point"
"In Tv mode the camera automatically picks the:","Aperture","Shutter speed","White balance","Resolution"
"Manual mode means you set:","All three exposure settings","Only the aperture","Only the shutter speed","Nothing, the camera decides"
"Which mode stays most consistent from shot to shot?","Manual","Full Auto","Program","Scene mode"
"Panning means turning the camera:","With a moving subject at a slow shutter speed","Away from the subject quickly","Straight up toward the sky","Only on a tripod"
