"standard","outcome","dok","scenario_id","scenario","question","option_a","option_b","option_c","option_d","answer"
"7.3","Ohio Video and Sound Production","low","","","A scene heading in a screenplay always includes:","Interior or exterior, the location, and the time","The camera angle and the lens","The character's mood","The page number","A"
"7.3","Ohio Video and Sound Production","low","","","INT. in a scene heading means the scene takes place:","Inside","Outside","In the introduction","Internationally","A"
"7.3","Ohio Video and Sound Production","low","","","Action lines in a screenplay are written in:","Present tense","Past tense","Future tense","Any tense you prefer","A"
"7.3","Ohio Video and Sound Production","high","","","Which of these belongs in a screenplay's action line?","She checks the clock three times","She is anxious about being late","She remembers missing the bus last year","She has always hated waiting","A"
"7.3","Ohio Video and Sound Production","high","","","Why does 'He is furious but hiding it' not belong in a script?","A camera cannot record what someone feels, only what they do","It is too short","Feelings belong in the dialogue","It should be in past tense","A"
"7.3","Ohio Video and Sound Production","low","","","A character's name above their dialogue is written:","In all capital letters, on its own line","In lowercase, inline with the dialogue","In italics at the end of the line","Only the first time they speak","A"
"7.3","Ohio Video and Sound Production","low","","","A parenthetical tells you:","How a line is delivered","Where the scene takes place","What the camera does","Who is speaking","A"
"7.3","Ohio Video and Sound Production","high","","","Parentheticals should be used:","Rarely, because if the line only works with one it should be rewritten","On every line of dialogue","Only in the first scene","Whenever a character is emotional","A"
"7.3","Ohio Video and Sound Production","high","","","You need a new scene heading when:","The location or the time changes","The camera angle changes","A new character speaks","A page ends","A"
"7.3","Ohio Video and Sound Production","high","","","Camera directions such as ZOOM IN or PAN LEFT belong:","On the shot list, not in the script","In every action line","In the scene heading","In a parenthetical","A"
"7.3","Ohio Video and Sound Production","low","","","Screenplays are set in Courier because:","In Courier, one page runs about one minute of screen time","It is the easiest font to read","It is required by copyright law","It uses less ink","A"
"7.3","Ohio Video and Sound Production","high","","","A two column A/V script is a better choice than screenplay format for:","A documentary or a narrated promo","A short film with characters and dialogue","Any project with two locations","A project longer than three pages","A"
"7.3","Ohio Video and Sound Production","high","","","In a two column A/V script, the two columns are:","Video on the left and audio on the right","Dialogue on the left and action on the right","Scenes on the left and shots on the right","Cast on the left and crew on the right","A"
"7.7","Ohio Video and Sound Production","low","","","A storyboard shows:","What each shot looks like, one panel per shot","What every character says","The order shots will be filmed in","The crew's call times","A"
"7.7","Ohio Video and Sound Production","low","","","A shot list is:","A table of every shot to get, with type, location, and equipment","A drawing of each shot","The script in a table","A list of cast members","A"
"7.7","Ohio Video and Sound Production","high","","","A shot list is usually grouped by location rather than story order because:","You shoot everything in one place while you are standing in that place","Locations are alphabetical","The script is already in story order so it would be a duplicate","Editing software requires it","A"
"7.7","Ohio Video and Sound Production","low","","","A call sheet tells the crew:","Where to be, when, and with what","Which shots were approved","How the project will be edited","What the budget is","A"
"7.7","Ohio Video and Sound Production","low","","","A production schedule says:","What gets filmed on which day","How long the finished video will be","Which microphone to use","How the scenes are ordered in the story","A"
"7.7","Ohio Video and Sound Production","high","","","Coverage means:","Shooting a scene from enough angles to have options when editing","Making sure the whole frame is filled","Having a backup camera","Recording extra audio","A"
"7.7","Ohio Video and Sound Production","high","","","Continuity means:","Keeping details consistent across shots so the edit does not jump","Filming without stopping","Shooting scenes in story order","Using the same lens for every shot","A"
"7.7","Ohio Video and Sound Production","high","","","A table read is:","Reading the script out loud with people taking parts, to hear what works","A meeting where the schedule is set","Reviewing the storyboard as a group","A test of the equipment","A"
"7.7","Ohio Video and Sound Production","high","","","The main reason to storyboard before shooting is:","So everyone on the crew pictures the same shot before a camera is involved","So the script can be shortened","Because competition requires drawings","To decide the cast","A"
