"Question","Correct Answer","Incorrect Answer 1","Incorrect Answer 2","Incorrect Answer 3"
"Visual hierarchy is:","The order a viewer notices things in a design","Using only one font in a design","Making every element the same size","Exporting a file in CMYK"
"The one element a viewer sees first is called the:","Focal point","Whitespace","Folio","Margin"
"Visual weight describes:","How much an element pulls the eye","How many kilobytes a file is","How many layers a design has","How wide the margins are"
"Which pair of tools best creates hierarchy?","Size and contrast","Resolution and file size","Hex codes and layers","Margins and file names"
"In the three-level rule, the smallest text should be the:","Fine print","Headline","Key details","Focal point"
"On an event poster, the headline is which level of information?","Level one","Level two","Level three","Level four"
"On an event poster, the date, time, and place are which level?","Level two","Level one","Level three","Level five"
"The squint test checks:","Which element is still readable first","Whether the file exported correctly","How many fonts were used","Whether the colors are RGB"
"Alignment means:","Edges line up with each other on purpose","Everything is centered by default","Colors match across elements","Text is set in bold"
"Proximity creates grouping by:","Placing related items close together","Making related items the same color","Bolding related items","Putting related items in a box"
"Whitespace is:","Intentional empty space that improves readability","Wasted space that should be filled","A white background layer","Space reserved for the logo"
"A design where every element is the same size most likely has:","No clear hierarchy","Excellent contrast","Strong type pairing","Correct color mode"
"If two elements compete to be seen first, you should:","Make one bigger or bolder and shrink the other","Bold both of them","Make both the same size","Add more colors"
"Bolding every word on a poster results in:","Nothing standing out","Stronger hierarchy","Better alignment","A smaller file size"
"Reading order refers to:","The sequence a viewer actually takes information in","The order layers were created","The order files were exported","Alphabetical order of the text"
"Type pairing usually means using:","One heading font and one body font that contrast","Three or more decorative fonts","The same font at the same size everywhere","Only serif fonts"
"A typeface is:","The design of the letters, such as Helvetica","One single weight of a font family","The size of the text in points","The spacing between letters"
"Serif typefaces are identified by:","Small strokes or feet on the ends of letters","Perfectly round letterforms","Having no lowercase letters","Always being bold"
"A sans serif typeface:","Has no feet on the ends of the letters","Always uses handwriting shapes","Can only be used for headlines","Is always a vector"
"Font weight refers to:","How bold or thin the letters are","How many kilobytes the font file is","How wide the letters are spaced","The height of the capital letters"
"Using the same font at the same size for everything makes a design read:","Flat, with no hierarchy","Highly organized","More professional","Higher resolution"
"Complementary colors are:","Opposite each other on the color wheel","Next to each other on the color wheel","Three colors evenly spaced","Tints of a single hue"
"Analogous colors are:","Next to each other on the color wheel","Opposite each other on the color wheel","Only black and white","Always warm colors"
"A monochromatic scheme uses:","One hue in different tints and shades","Every color on the wheel","Two opposite colors","Only primary colors"
"Adding white to a hue creates a:","Tint","Shade","Hue","Value"
"Adding black to a hue creates a:","Shade","Tint","Saturation","Hue"
"Saturation describes a color's:","Intensity","Lightness or darkness","Position on the wheel","File format"
"Value describes a color's:","Lightness or darkness","Intensity","Temperature in Kelvin","Hex code length"
"Warm colors tend to:","Advance, appearing closer","Recede, appearing farther away","Disappear in print","Print as pure black"
"Cool colors tend to:","Recede, appearing farther away","Advance, appearing closer","Increase file size","Convert to vector"
"Which color is most commonly used to signal urgency or danger?","Red","Green","Beige","Light blue"
"Banks and technology companies most often use which color to suggest trust and stability?","Blue","Orange","Pink","Yellow"
"Which color is most commonly associated with nature, growth, and health?","Green","Purple","Gray","Red"
"Which color is conventionally used on caution and warning signs?","Yellow","Blue","Purple","Brown"
"Which color is most often associated with luxury and royalty?","Purple","Orange","Green","Tan"
"Which color is most commonly used to feel energetic, friendly, and affordable?","Orange","Navy blue","Black","Gray"
"A high-end jewelry brand most often uses which color to suggest sophistication?","Black","Bright yellow","Lime green","Hot pink"
"Which color is most associated with simplicity and cleanliness in design?","White","Dark brown","Deep red","Olive green"
"A hospital poster meant to feel calm would most likely use:","Blues and greens","Bright reds and oranges","Neon pinks","Pure black only"
"Fast food brands wanting attention and appetite most often use:","Red and yellow","Gray and beige","Navy and brown","Purple and olive"
"A poster for an environmental club would most conventionally use:","Greens and earth tones","Neon pink and black","Bright red and gold","Silver and gray"
"RGB color is used for:","Anything viewed on a screen","Printing with ink","Cutting vinyl","Embroidery only"
"CMYK color is used for:","Printing with ink","Screens and websites","Video editing only","Audio files"
"A bright neon green seen on screen will most likely:","Look duller when printed in CMYK","Print exactly the same","Print brighter than on screen","Refuse to print at all"
"A hex code such as #1F4E79 specifies:","One exact color","A font family","An image resolution","A file size"
"Saying a brand color is just 'blue' is a problem because:","It is not an exact specification","Blue cannot be printed","Blue is not in RGB","Blue has no hex code"
"Raster images are made of:","Pixels","Math and shapes","Vectors and paths","Layers only"
"Vector images are made of:","Math and shapes","Pixels","Dots of ink","Compressed frames"
"Which should be built as a vector?","A logo","A photograph","A screenshot","A scanned document"
"Enlarging a raster photo far beyond its size causes it to:","Look blurry or pixelated","Stay perfectly sharp","Convert to vector","Change to CMYK"
"A transparent PNG is useful because:","It has no white box behind the mark","It is always smaller than a JPG","It prints in CMYK automatically","It can hold multiple pages"
"Resolution measures:","How many pixels are in the image","How many colors are used","How many layers exist","How many fonts are embedded"
"An image with too few pixels will look:","Soft or pixelated in print","Sharper in print","Brighter on screen","Larger in file size"
"The canvas is:","The size and shape of the file you design in","The exported PDF","The color palette","The list of fonts"
"Exporting means:","Saving a copy in a format someone else can open","Saving the editable project file","Uploading to the printer","Renaming the file"
"The editable project file by itself is:","Not the deliverable","The final deliverable","Always a PDF","Always a vector"
"Our file naming convention is:","lastname-item-version","Untitled followed by a number","The date only","The software name"
"A brief is:","The list of what the work has to do","A quick sketch of the layout","The color palette","The final export"
"Meeting the brief comes:","Before making it pretty","After the final export","Only if there is time","Only for print work"
"A brand kit stores:","Colors, fonts, and logos you reuse","Every photo you have taken","Your export settings","Your file names"
"A monogram is:","A mark built from initials","A full-color photograph","A body text font","A print color mode"
"A logo should stay readable when it is:","Shrunk down small","Only shown at full size","Printed in RGB","Saved as a project file"
"To submit a printable version of your poster you export a:","PDF","Project file","Font file","Color swatch"
"To embed your poster on your portfolio site you need a:","PNG or JPG image","RAW file","Project file","Spreadsheet"
"Our poster canvas is portrait:","18 by 24 inches","8 by 10 inches","40 by 60 inches","5 by 7 inches"
"The portfolio site we build in is:","Google Sites","Adobe Express","Photoshop","Figma"
"The main design tool we use for posters and brand kits is:","Adobe Express","Google Sheets","DaVinci Resolve","MakeCode"
"Layers let you:","Stack and edit elements separately","Reduce the file size","Convert raster to vector","Change the color mode"
"Contrast in design means:","The difference between two things that makes one stand out","How many colors are used","The space between letters","The size of the canvas"
"Low contrast text placed on a busy photo is a problem because:","It becomes hard to read","It increases file size","It converts to CMYK","It removes the background"
"Composition refers to:","Where things sit in the frame and how that guides the eye","The number of fonts used","The export settings","The color profile"
"The exposure triangle is:","Aperture, shutter speed, and ISO","Hue, saturation, and value","Red, green, and blue","Size, weight, and color"
"A low f number on a lens gives you:","More light and a blurrier background","Less light and more in focus","A higher resolution","A larger file"
"Raising ISO too far adds:","Grain, called noise","Sharpness","Saturation","Resolution"
