"standard","outcome","dok","scenario_id","scenario","question","option_a","option_b","option_c","option_d","answer"
"7.6","Ohio Aviation and UAS","low","","","A METAR is:","A report of the weather conditions observed right now at an airport","A forecast of next week's weather","A map of controlled airspace","A list of airport radio frequencies","A"
"7.6","Ohio Aviation and UAS","low","","","A TAF is different from a METAR because a TAF is:","A forecast of what the weather is expected to do","A report of what the weather is doing right now","Only used for drones","A record of past flights","A"
"7.6","Ohio Aviation and UAS","low","","","In a US METAR, wind speed is given in:","Knots","Miles per hour","Kilometers per hour","Feet per second","A"
"7.6","Ohio Aviation and UAS","low","","","In a US METAR, visibility is given in:","Statute miles","Knots","Kilometers","Nautical miles","A"
"7.6","Ohio Aviation and UAS","low","","","In a METAR, cloud heights are given in:","Feet above ground level","Miles","Meters","Statute miles above sea level","A"
"7.4","Ohio Aviation and UAS","low","","","Yaw is the motion of a drone:","Rotating left or right about its vertical axis, so the nose points a new direction","Tilting nose up or nose down","Tilting left or right so it slides sideways","Rising straight up and down","A"
"7.4","Ohio Aviation and UAS","low","","","Pitch is the motion of a drone:","Tilting nose up or nose down, which moves it forward or backward","Rotating so the nose points a new direction","Tilting left or right so it slides sideways","Rising straight up and down","A"
"7.4","Ohio Aviation and UAS","low","","","Roll is the motion of a drone:","Tilting left or right so it slides sideways","Rotating so the nose points a new direction","Tilting nose up or nose down","Rising straight up and down","A"
"7.12","Ohio Aviation and UAS","low","","","On a Mode 2 controller, the LEFT stick controls:","Throttle (up and down) and yaw (turning the nose)","Pitch and roll","Only the camera","Only the throttle","A"
"7.12","Ohio Aviation and UAS","low","","","On a Mode 2 controller, the RIGHT stick controls:","Pitch (forward and back) and roll (left and right)","Throttle and yaw","Only the camera","Only the gimbal tilt","A"
"7.12","Ohio Aviation and UAS","high","","","You push the RIGHT stick to the right. The drone will:","Roll right and slide to its right, with the nose still pointing the same direction","Spin to the right so the nose points right","Climb","Fly forward","A"
"7.12","Ohio Aviation and UAS","high","","","You push the LEFT stick to the right. The drone will:","Yaw right, rotating so the nose points a new direction, without moving sideways","Slide to its right without turning","Climb","Fly forward","A"
"7.12","Ohio Aviation and UAS","high","","","You are filming a runner and want to arc to the RIGHT around them while keeping them centered. You would push:","Right stick right, and left stick left at the same time","Right stick right only","Left stick right only","Both sticks right","A"
"7.12","Ohio Aviation and UAS","low","","","Throttle controls the drone's:","Altitude, up and down","Direction the nose points","Sideways movement","Camera angle","A"
"7.12","Ohio Aviation and UAS","high","","","If you take your thumbs off both sticks, the drone will:","Hold its position and hover, because the sticks spring back to center","Land immediately","Fly back to you","Keep moving in the direction it was going","A"
"7.12","Ohio Aviation and UAS","low","","","RTH stands for:","Return to Home","Radio Transmission Hold","Ready to Hover","Rotate Toward Heading","A"
"7.4","Ohio Aviation and UAS","low","","","The four forces acting on a drone in flight are:","Lift, weight, thrust, and drag","Yaw, pitch, roll, and throttle","Wind, gravity, speed, and altitude","Power, balance, motion, and control","A"
"7.9","Ohio Aviation and UAS","low","","","The maximum altitude for most small drone operations is:","400 feet above ground level","400 feet above sea level","4,000 feet above ground level","There is no altitude limit","A"
"7.9","Ohio Aviation and UAS","low","","","Under Part 107, the minimum flight visibility required is:","3 statute miles","1 statute mile","3 nautical miles","3 kilometers","A"
"7.9","Ohio Aviation and UAS","high","","","Under Part 107, the maximum groundspeed for a small drone is:","100 miles per hour","100 knots","50 miles per hour","There is no speed limit","A"
"7.9","Ohio Aviation and UAS","low","","","VLOS stands for:","Visual line of sight, meaning you can see the aircraft with your own eyes","Very low operating speed","Vertical lift off system","Visual landing and orientation system","A"
"7.9","Ohio Aviation and UAS","low","","","A drone must be registered with the FAA if it weighs more than:","0.55 pounds, which is 250 grams","5 pounds","1 pound","Drones never need to be registered","A"
"7.9","Ohio Aviation and UAS","low","","","Part 107 is:","The FAA rules for flying a small drone for work or any non-recreational purpose","A type of drone","A weather reporting system","A model of controller","A"
"7.9","Ohio Aviation and UAS","low","","","TRUST stands for:","The Recreational UAS Safety Test","Tested Remote UAS Standard Training","Training for Regulated Unmanned Systems Transport","The Registered UAS Safety Ticket","A"
"7.9","Ohio Aviation and UAS","high","","","The main difference between TRUST and Part 107 is:","TRUST is for recreational flying, Part 107 is for work or other non-recreational flying","TRUST is harder than Part 107","Part 107 is for children and TRUST is for adults","They are two names for the same test","A"
"7.9","Ohio Aviation and UAS","high","","","You want to fly a drone to shoot video that the school will use to promote an event. This flight would fall under:","Part 107, because it is not purely recreational","TRUST, because you are a student","No rules, because it is at a school","Part 107 only if you are paid in cash","A"
"7.9","Ohio Aviation and UAS","high","","","You are 15 years old and want to fly a drone just for fun at a park. What do you need?","TRUST, plus registration if the drone is over 0.55 pounds","A Part 107 Remote Pilot Certificate","Nothing at all","A driver's license","A"
"2.1","Ohio Aviation and UAS","low","","","The RPIC is the:","Remote Pilot in Command, the person responsible for the safety of the flight","Radio Protocol and Intercom Controller","Registered Personal Identification Code","Remote Positioning and Imaging Camera","A"
"7.6","Ohio Aviation and UAS","low","","","In a METAR, temperature and dew point are given in:","Degrees Celsius","Degrees Fahrenheit","Kelvin","Degrees Celsius and Fahrenheit both","A"
"7.9","Ohio Aviation and UAS","high","","","Under Part 107, the required distance from clouds is:","500 feet below and 2,000 feet horizontally","100 feet below and 500 feet horizontally","1,000 feet below and 1 mile horizontally","There is no cloud requirement","A"
