"standard","outcome","question","option_a","option_b","option_c","option_d","answer"
"1.3.8","1.3 Business Ethics & Law","You want to use a photo you found online in a client project. What must you do to comply with copyright law?","Obtain a license or use a photo you have the rights to (e.g., your own or Creative Commons).","Nothing; anything on the internet is free to use.","Just add the photographer's name in small text.","Remove the file's metadata so no one can tell.","A"
"1.5.7","1.5 Global Environment","When designing for an international audience, which choice best reflects intercultural communication?","Research how colors and symbols are interpreted in the target culture before finalizing.","Assume your own culture's symbols mean the same thing everywhere.","Use only English text in every market.","Avoid showing any people in the design.","A"
"1.7.13","1.7 Entrepreneurship","A freelance designer creates an original brand logo. Which best protects it as a brand identifier?","Trademark.","Patent.","A building permit.","A driver's license.","A"
"1.8.2","1.8 Operations Management","Before starting a large project, forecasting labor hours and software costs is an example of:","Budgeting and resource planning.","Color correction.","Exporting for print.","Usability testing.","A"
"1.10.2","1.10 Sales & Marketing","A client says only 'make it pop.' The best first step is to:","Ask questions to determine the client's actual needs and goals.","Immediately add the brightest colors you have.","Increase every font size on the page.","Add as many images as will fit.","A"
"2.9.1","2.9 Project Concept Proposal","The scope and purpose of branding is best described as:","Creating a consistent identity (name, logo, colors, voice) that sets an organization apart.","Choosing the cheapest possible printer.","Writing the software that runs a website.","Setting the office thermostat.","A"
"2.9.3","2.9 Project Concept Proposal","A design brief should identify the target audience because:","Design choices should match the needs and expectations of the intended users.","It fills empty space in the document.","Clients require a minimum word count.","It sets the export file format automatically.","A"
"2.9.4","2.9 Project Concept Proposal","A design brief mainly serves to:","Define the project's goals, audience, scope, and deliverables before production starts.","Replace the final invoice.","List the designer's favorite fonts.","Act as the exported final file.","A"
"2.10.4","2.10 Equipment","Before buying software for a design lab, you should first check:","The system requirements against the hardware you have.","The color of the software box.","Whether it has the most menus.","How many fonts are on other computers.","A"
"2.11.1","2.11 Troubleshooting","A printed piece looks different from the screen. A systematic troubleshooting approach starts by:","Clearly identifying the problem before changing anything.","Reinstalling the operating system.","Buying a new monitor.","Changing several settings at once and hoping.","A"
"2.12.4","2.12 Performance Tests & Acceptance","Usability testing of a design is done to:","See whether real users can understand and use it as intended.","Increase the file size.","Prove the designer was right.","Replace the client's approval.","A"
"2.13.6","2.13 Rollout & Handoff","When handing a finished website off to a client, good practice includes:","Providing support materials and instructions for maintaining it.","Deleting all of the source files.","Keeping the only login for yourself.","Refusing to explain how it works.","A"
"2.14.3","2.14 Artificial Intelligence","Which is the best practice when using an AI image generator for a project?","Write a clear, specific prompt and review the result for accuracy and rights.","Accept the very first output without checking it.","Assume AI output is always free to use and factual.","Never revise the prompt.","A"
"2.14.2","2.14 Artificial Intelligence","A key ethical concern with using AI-generated art in client work is:","Ownership, bias, and whether the training data used others' work without permission.","AI always uses too much printer ink.","AI cannot generate images at all.","There are no concerns to consider.","A"
"2.15.1","2.15 UX/UI Design","A wireframe is best described as:","A low-detail layout showing structure and placement before visual design.","The final full-color design.","The website's database schema.","A type of camera lens.","A"
"2.15.1","2.15 UX/UI Design","Which sequence reflects a typical UX/UI design process?","Research, journey map, wireframe, prototype, test.","Export, print, invoice, research.","Prototype, research, delete, repeat.","Test, publish, wireframe, research.","A"
"7.1.1","7.1 Interactive Media","Which of these is an example of interactive media?","A website where the user clicks to navigate.","A printed newspaper.","A one-way radio broadcast.","A billboard on the highway.","A"
"7.1.5","7.1 Interactive Media","Video games, kiosks, and mobile apps are examples of interactive media:","environments/genres.","print-only formats.","audio-only formats.","obsolete technologies.","A"
"7.1.7","7.1 Interactive Media","Using someone else's photo in an interactive project without permission may violate:","Copyright / intellectual property rights.","Local building codes.","Traffic laws.","Nothing, as long as it is online.","A"
"7.1.2","7.1 Interactive Media","Which best lists common components of interactive media?","Text, graphics, audio, video, and user navigation.","Only printed text.","Only spreadsheets.","Only sound effects.","A"
"7.2.7","7.2 Multimedia Tools","Colors directly opposite each other on the color wheel are called:","Complementary colors.","Analogous colors.","Monochromatic colors.","Grayscale colors.","A"
"7.2.5","7.2 Multimedia Tools","Making rough sketches of where images and text will go before building is called:","Creating preliminary layouts (thumbnails).","Exporting.","Compressing.","Rasterizing.","A"
"7.3.1","7.3 Production","'Media elements' in a production include:","Sound, video, graphics, text, and animation.","Only the file name.","Only the printer.","Only the mouse.","A"
"7.3.10","7.3 Production","After finishing and testing a project, you should:","Archive the final files and the source materials.","Delete everything immediately.","Email it to random strangers.","Print it and shred the digital files.","A"
